segment,requested_start_hour,requested_duration_mins,work_type,safety_criticality,trains_scheduled_in_window,asset_risk_flag,historical_overrun_rate,text_urgency_score,priority_score
D-E,5,57,Electrical,safety_critical,5,1,0.37,88.41,100.0
C-D,20,80,Track,routine,4,0,0.431,25.26,44.48
B-C,11,215,Other,urgent,5,0,0.266,38.07,76.37
A-B,4,34,Other,urgent,6,0,0.395,34.5,87.18
A-B,1,34,Electrical,urgent,4,0,0.148,67.12,88.79
B-C,15,123,Track,safety_critical,0,0,0.271,94.63,100.0
D-E,4,125,Other,routine,7,1,0.173,26.73,58.31
D-E,14,37,Signal,safety_critical,3,1,0.207,100.0,100.0
D-E,11,93,Electrical,safety_critical,8,1,0.366,89.41,100.0
D-E,3,167,Other,urgent,5,1,0.441,70.0,100.0
B-C,14,67,Signal,safety_critical,0,1,0.061,89.2,100.0
D-E,10,140,Other,urgent,2,0,0.317,51.69,78.84
C-D,15,141,Signal,routine,2,0,0.291,14.42,29.97
D-E,22,110,Electrical,urgent,3,0,0.059,47.76,72.58
A-B,5,165,Other,routine,5,0,0.106,22.43,37.39
D-E,13,133,Other,urgent,6,1,0.156,71.36,99.81
B-C,17,182,Track,safety_critical,3,1,0.083,92.7,100.0
A-B,11,102,Electrical,safety_critical,5,1,0.122,88.3,100.0
B-C,10,223,Signal,routine,0,0,0.134,33.7,18.78
B-C,12,236,Other,routine,7,1,0.168,30.27,51.29
A-B,20,207,Other,routine,6,0,0.375,27.62,44.25
B-C,22,224,Signal,urgent,8,1,0.286,37.02,96.16
B-C,10,78,Electrical,urgent,2,1,0.493,68.67,95.08
D-E,22,65,Track,routine,1,0,0.207,20.41,26.94
C-D,15,155,Track,safety_critical,0,0,0.377,95.89,100.0
B-C,14,97,Other,urgent,2,1,0.436,69.22,94.2
B-C,20,107,Signal,urgent,4,1,0.339,46.96,90.99
B-C,14,134,Other,urgent,1,0,0.206,66.4,78.44
D-E,3,198,Signal,routine,2,1,0.377,21.39,40.2
C-D,10,151,Track,routine,3,1,0.102,21.45,40.08
A-B,18,148,Electrical,routine,6,0,0.164,27.57,41.79
D-E,14,219,Signal,routine,2,1,0.273,27.84,36.41
D-E,3,143,Track,routine,8,0,0.288,25.39,51.58
C-D,20,39,Other,safety_critical,7,1,0.011,71.66,100.0
C-D,12,178,Signal,safety_critical,3,0,0.473,83.79,100.0
D-E,21,193,Electrical,routine,0,1,0.348,47.78,41.41
A-B,18,169,Other,urgent,0,0,0.248,21.59,57.4
D-E,1,120,Other,routine,0,1,0.467,33.7,45.27
C-D,13,31,Track,safety_critical,0,0,0.22,95.57,100.0
A-B,3,147,Signal,safety_critical,7,1,0.49,71.42,100.0
C-D,15,42,Other,urgent,2,1,0.256,49.37,89.89
A-B,20,210,Electrical,safety_critical,5,1,0.057,74.99,100.0
B-C,19,189,Signal,routine,2,1,0.382,43.54,50.54
C-D,13,124,Electrical,urgent,4,1,0.339,68.24,94.53
C-D,14,173,Other,routine,6,1,0.386,36.51,58.62
D-E,2,61,Electrical,routine,1,1,0.476,26.21,45.92
C-D,7,61,Track,urgent,5,1,0.388,70.75,100.0
C-D,15,153,Electrical,routine,5,1,0.306,24.92,50.03
B-C,9,40,Signal,safety_critical,2,0,0.429,98.59,100.0
C-D,3,39,Electrical,routine,5,0,0.337,23.51,47.04
B-C,17,44,Electrical,urgent,4,1,0.204,46.85,89.9
B-C,1,46,Track,urgent,1,0,0.443,76.73,86.5
B-C,16,197,Electrical,urgent,8,1,0.111,54.75,98.36
B-C,12,175,Electrical,routine,7,1,0.357,16.01,52.44
A-B,3,212,Other,urgent,2,0,0.441,44.08,70.21
D-E,10,230,Other,urgent,7,1,0.366,44.12,90.54
A-B,6,182,Signal,routine,8,1,0.349,33.44,60.59
C-D,11,88,Other,safety_critical,2,0,0.376,84.01,100.0
A-B,9,107,Other,routine,2,0,0.233,47.98,37.74
A-B,6,153,Other,urgent,1,1,0.437,69.23,89.32
C-D,12,143,Other,urgent,7,0,0.102,58.09,87.12
C-D,6,51,Track,routine,0,0,0.064,39.04,28.11
C-D,23,187,Other,safety_critical,7,1,0.143,80.04,100.0
A-B,16,201,Track,urgent,6,0,0.266,32.74,78.7
A-B,9,61,Track,urgent,6,0,0.255,43.13,89.49
C-D,9,208,Other,urgent,2,1,0.41,56.77,85.04
D-E,23,203,Electrical,routine,0,0,0.202,22.77,20.19
D-E,3,142,Track,urgent,3,0,0.242,64.89,81.21
B-C,19,149,Electrical,safety_critical,8,1,0.007,83.75,100.0
